"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
511226;98513;Ábelová;2010-01-01;
511536;98513;Ábelová;2010-01-01;
511757;98513;Ábelová;2010-01-01;
920302116;36235;Abertamy;2018-07-31;
920304791;36235;Abertamy;2018-07-31;
920304928;36235;Abertamy;2018-07-31;
920302155;36235;Abertamy;2018-07-31;
920304928;36235;Abertamy;2018-07-31;
920302155;36235;Abertamy;2018-07-31;
503673;92545;Abrahám;2010-01-01;
503789;92545;Abrahám;2010-01-01;
920303118;67904;"Adamov 1";2018-07-31;
920304667;67904;"Adamov 1";2018-07-31;
920306392;67904;"Adamov 1";2018-07-31;
920302362;51722;"Albrechtice nad Orlicí";2018-07-31;
920302416;39816;"Albrechtice nad Vltavou";2018-07-31;
920306394;73543;"Albrechtice u Českého Těšína";2018-07-31;
920302417;46843;"Albrechtice v Jizerských horách";2018-07-31;
920303613;46843;"Albrechtice v Jizerských horách";2018-07-31;
920302417;46843;"Albrechtice v Jizerských horách";2018-07-31;
920302418;74255;Albrechtičky;2018-07-31;
500020;95122;Alekšince;2010-01-01;
503029;94123;Andovce;2010-01-01;
503649;94123;Andovce;2010-01-01;
920303062;69633;Archlebov;2018-07-31;
920302113;69633;Archlebov;2018-07-31;
920302425;40714;"Arnoltice u Děčína";2018-07-31;
920305213;40714;"Arnoltice u Děčína";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920304864;35201;"Aš 1";2018-07-31;
920301290;35201;"Aš 1";2018-07-31;
920303874;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920306526;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920306526;35201;"Aš 1";2018-07-31;
920301290;35201;"Aš 1";2018-07-31;
920303874;35201;"Aš 1";2018-07-31;
920306526;35201;"Aš 1";2018-07-31;
920301290;35201;"Aš 1";2018-07-31;
920301290;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920301290;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
920300075;35201;"Aš 1";2018-07-31;
500046;95134;Báb;2010-01-01;
920306400;68703;"Babice u Uherského Hradiště";2018-07-31;
920300283;68703;"Babice u Uherského Hradiště";2018-07-31;
920303964;68703;"Babice u Uherského Hradiště";2018-07-31;
528111;07661;Bačkov;2010-01-01;
528315;07661;Bačkov;2010-01-01;
528455;07661;Bačkov;2010-01-01;
543781;07661;Bačkov;2010-01-01;
543934;07661;Bačkov;2010-01-01;
508454;97632;Badín;2010-01-01;
507806;90084;Báhoň;2010-01-01;
555487;90084;Báhoň;2010-01-01;
555495;90084;Báhoň;2010-01-01;
501034;94654;Bajč;2010-01-01;
501140;94654;Bajč;2010-01-01;
524174;08241;Bajerov;2010-01-01;
524255;08241;Bajerov;2010-01-01;
524701;08241;Bajerov;2010-01-01;
525111;08241;Bajerov;2010-01-01;
525502;08241;Bajerov;2010-01-01;
501450;93004;Baka;2010-01-01;
501671;93004;Baka;2010-01-01;
501964;93004;Baka;2010-01-01;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920305036;29401;"Bakov nad Jizerou";2018-07-31;
920304563;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920302526;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920302526;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920302526;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
920300422;29401;"Bakov nad Jizerou";2018-07-31;
515868;99111;"Balog nad Ipľom";2010-01-01;
516139;99111;"Balog nad Ipľom";2010-01-01;
503045;94101;"Bánov pri Nových Zámkoch";2010-01-01;
920300423;68754;"Bánov u Uherského Brodu";2018-07-31;
505153;95701;"Bánovce nad Bebravou 1";2010-01-01;
505625;95701;"Bánovce nad Bebravou 1";2010-01-01;
542652;95701;"Bánovce nad Bebravou 1";2010-01-01;
542741;95701;"Bánovce nad Bebravou 1";2010-01-01;
542849;95701;"Bánovce nad Bebravou 1";2010-01-01;
505056;95703;"Bánovce nad Bebravou 1";2010-01-01;
505412;95703;"Bánovce nad Bebravou 1";2010-01-01;
542652;95703;"Bánovce nad Bebravou 1";2010-01-01;
542822;95703;"Bánovce nad Bebravou 1";2010-01-01;
542857;95703;"Bánovce nad Bebravou 1";2010-01-01;
542652;95704;"Bánovce nad Bebravou 1";2010-01-01;
516627;96615;"Banská Belá";2010-01-01;
516643;96615;"Banská Belá";2010-01-01;
516953;96615;"Banská Belá";2010-01-01;
508438;97401;"Banská Bystrica 1";2010-01-01;
508519;97401;"Banská Bystrica 1";2010-01-01;
508543;97401;"Banská Bystrica 1";2010-01-01;
508632;97401;"Banská Bystrica 1";2010-01-01;
508781;97401;"Banská Bystrica 1";2010-01-01;
508969;97401;"Banská Bystrica 1";2010-01-01;
508977;97401;"Banská Bystrica 1";2010-01-01;
509019;97401;"Banská Bystrica 1";2010-01-01;
